Value,Count,LC20_BPS_220,LC24_SCla_250,nps_4kplus,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,LABEL,UNIT_NAME,UNIT_TYPE
107,4879.000000000000000,726,5,369,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404,-9999,-9999,404,E,North Cascades National Park,National Park
108,2917.000000000000000,724,1,369,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,336,105,-9999,80,A,North Cascades National Park,National Park
109,142.000000000000000,750,2,369,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749,-9999,-9999,749,B,North Cascades National Park,National Park
110,8538.000000000000000,729,132,369,10420_1_7,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,3606,1742,-9999,1172,Barren or Sparse,North Cascades National Park,National Park
111,2535.000000000000000,730,5,369,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,184,107,32,22,E,North Cascades National Park,National Park
112,2449.000000000000000,741,7,369,10840_1,North Pacific Montane Shrubland,Shrubland,10975,-9999,-9999,10975,UE,North Cascades National Park,National Park
113,3560.000000000000000,740,7,369,10830_1,North Pacific Avalanche Chute Shrubland,Shrubland,998,-9999,-9999,998,UE,North Cascades National Park,National Park
114,1706.000000000000000,753,2,369,11582_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Dry,Riparian,465,233,-9999,155,B,North Cascades National Park,National Park
115,2490.000000000000000,721,4,369,10180_1_7,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer,253,129,276,65,D,North Cascades National Park,National Park
116,4.000000000000000,730,7,369,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,184,107,32,22,UE,North Cascades National Park,National Park
117,729.000000000000000,756,7,369,11710_1,North Pacific Alpine and Subalpine Dry Grassland,Grassland,504,-9999,-9999,504,UE,North Cascades National Park,National Park
118,2825.000000000000000,721,1,369,10180_1_7,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer,253,129,276,65,A,North Cascades National Park,National Park
119,2340.000000000000000,726,3,369,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404,-9999,-9999,404,C,North Cascades National Park,National Park
120,44.000000000000000,750,7,369,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749,-9999,-9999,749,UE,North Cascades National Park,National Park
121,764.000000000000000,726,4,369,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404,-9999,-9999,404,D,North Cascades National Park,National Park
122,299.000000000000000,740,132,369,10830_1,North Pacific Avalanche Chute Shrubland,Shrubland,998,-9999,-9999,998,Barren or Sparse,North Cascades National Park,National Park
123,327.000000000000000,753,1,369,11582_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Dry,Riparian,465,233,-9999,155,A,North Cascades National Park,National Park
124,103.000000000000000,750,132,369,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749,-9999,-9999,749,Barren or Sparse,North Cascades National Park,National Park
125,96.000000000000000,733,1,369,10550_1_8_9,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,232,248,-9999,120,A,North Cascades National Park,National Park
126,222.000000000000000,733,5,369,10550_1_8_9,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,232,248,-9999,120,E,North Cascades National Park,National Park
127,89.000000000000000,752,132,369,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,Riparian,1888,1598,-9999,865,Barren or Sparse,North Cascades National Park,National Park
128,72.000000000000000,736,2,369,10630_1,North Pacific Broadleaf Landslide Forest and Shrubland,Hardwood,457,915,-9999,304,B,North Cascades National Park,National Park
129,884.000000000000000,729,120,369,10420_1_7,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,3606,1742,-9999,1172,Developed,North Cascades National Park,National Park
130,16.000000000000000,750,120,369,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749,-9999,-9999,749,Developed,North Cascades National Park,National Park
131,17.000000000000000,734,120,369,10560_1_7_8_9,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,120,415,-9999,93,Developed,North Cascades National Park,National Park
132,48.000000000000000,736,132,369,10630_1,North Pacific Broadleaf Landslide Forest and Shrubland,Hardwood,457,915,-9999,304,Barren or Sparse,North Cascades National Park,National Park
133,4.000000000000000,731,7,369,10460_1_7_9,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,345,79,-9999,64,UE,North Cascades National Park,National Park
134,4571.000000000000000,727,2,371,10411_1_7,North Pacific Mountain Hemlock Forest-Wet,Conifer,10910,5135,-9999,3461,B,Ross Lake National Recreation Area,National Recreation Area
135,1538.000000000000000,721,2,371,10180_1_7,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer,253,129,276,65,B,Ross Lake National Recreation Area,National Recreation Area
136,29318.000000000000000,729,5,371,10420_1_7,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,3606,1742,-9999,1172,E,Ross Lake National Recreation Area,National Recreation Area
137,24489.000000000000000,729,2,371,10420_1_7,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,3606,1742,-9999,1172,B,Ross Lake National Recreation Area,National Recreation Area
138,17052.000000000000000,727,3,371,10411_1_7,North Pacific Mountain Hemlock Forest-Wet,Conifer,10910,5135,-9999,3461,C,Ross Lake National Recreation Area,National Recreation Area
139,3459.000000000000000,730,2,371,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,184,107,32,22,B,Ross Lake National Recreation Area,National Recreation Area
140,9086.000000000000000,727,5,371,10411_1_7,North Pacific Mountain Hemlock Forest-Wet,Conifer,10910,5135,-9999,3461,E,Ross Lake National Recreation Area,National Recreation Area
141,62023.000000000000000,724,2,371,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,336,105,-9999,80,B,Ross Lake National Recreation Area,National Recreation Area
142,25163.000000000000000,729,3,371,10420_1_7,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,3606,1742,-9999,1172,C,Ross Lake National Recreation Area,National Recreation Area
143,8801.000000000000000,729,4,371,10420_1_7,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,3606,1742,-9999,1172,D,Ross Lake National Recreation Area,National Recreation Area
144,73568.000000000000000,724,5,371,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,336,105,-9999,80,E,Ross Lake National Recreation Area,National Recreation Area
145,23.000000000000000,738,120,369,10680_1_7,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Shrubland,-9999,-9999,-9999,-9999,Developed,North Cascades National Park,National Park
146,46853.000000000000000,759,2,371,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,-9999,-9999,-9999,-9999,B,Ross Lake National Recreation Area,National Recreation Area
147,3929.000000000000000,730,5,371,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,184,107,32,22,E,Ross Lake National Recreation Area,National Recreation Area
148,2710.000000000000000,721,5,371,10180_1_7,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer,253,129,276,65,E,Ross Lake National Recreation Area,National Recreation Area
149,4130.000000000000000,727,4,371,10411_1_7,North Pacific Mountain Hemlock Forest-Wet,Conifer,10910,5135,-9999,3461,D,Ross Lake National Recreation Area,National Recreation Area
150,5507.000000000000000,734,2,371,10560_1_7_8_9,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,120,415,-9999,93,B,Ross Lake National Recreation Area,National Recreation Area
151,9508.000000000000000,726,5,371,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404,-9999,-9999,404,E,Ross Lake National Recreation Area,National Recreation Area
152,8838.000000000000000,726,2,371,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404,-9999,-9999,404,B,Ross Lake National Recreation Area,National Recreation Area
153,24158.000000000000000,724,3,371,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,336,105,-9999,80,C,Ross Lake National Recreation Area,National Recreation Area
154,9550.000000000000000,750,3,371,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749,-9999,-9999,749,C,Ross Lake National Recreation Area,National Recreation Area
